step,steps,wall_ms,io_ms,compute_ms,read_bytes,cache_hit_pct,stall_ms,mgmt_ms
163,256,212.149,167.694,130.526,119926784,80.04,66.839,14.784
164,256,404.471,123.072,341.729,93245440,80.09,50.721,12.021
165,256,201.345,147.439,131.003,104046592,80.12,57.324,13.018
166,256,182.940,78.252,134.964,60719104,80.18,39.887,8.089
167,256,161.272,107.862,109.658,80961536,80.23,42.115,9.498
168,256,151.709,74.387,109.730,64331776,80.29,33.587,8.393
169,256,202.252,200.966,114.959,150958080,80.29,69.420,17.873
170,256,161.955,96.094,112.760,80957440,80.33,39.556,9.639
171,256,183.114,115.823,122.252,88924160,80.38,50.367,10.496
172,256,184.482,127.946,121.368,99717120,80.41,50.919,12.196
173,256,170.859,127.284,110.374,98963456,80.44,48.340,12.145
174,256,140.937,62.449,109.688,46321664,80.51,25.364,5.885
175,256,129.636,34.366,109.832,26685440,80.60,15.973,3.831
176,256,144.861,62.681,110.582,49180672,80.67,28.225,6.054
177,256,144.437,71.508,111.970,51281920,80.73,25.907,6.560
178,256,152.971,77.557,110.928,66543616,80.79,33.516,8.527
179,256,170.450,62.111,129.355,47681536,80.85,34.353,6.742
180,256,199.239,138.593,127.481,103305216,80.88,59.341,12.417
181,256,177.956,123.786,121.603,86048768,80.92,46.206,10.147
182,256,413.229,83.787,362.331,67915776,80.97,42.019,8.880
183,256,245.003,275.368,133.793,184889344,80.93,89.080,22.130
184,256,422.768,100.844,367.879,72261632,80.98,46.155,8.734
185,256,172.755,53.660,141.465,33267712,81.05,26.063,5.228
186,256,199.544,97.401,138.712,75132928,81.10,51.223,9.609
187,256,167.759,75.627,125.478,57851904,81.15,34.715,7.566
188,256,206.724,193.236,120.242,130748416,81.16,70.584,15.898
189,256,180.792,48.104,147.942,38981632,81.22,26.944,5.906
190,256,157.001,24.169,138.680,20246528,81.30,15.151,3.170
191,256,197.032,118.259,133.121,92491776,81.33,52.260,11.651
192,256,183.910,159.619,111.430,127905792,81.34,57.562,14.918
193,256,185.378,89.802,131.885,69427200,81.38,44.337,9.156
194,256,170.153,91.622,120.166,67170304,81.43,41.182,8.805
195,256,186.182,50.722,150.954,38244352,81.49,29.820,5.409
196,256,174.996,81.512,132.169,54255616,81.55,35.563,7.264
197,256,123.037,18.234,110.734,16633856,81.63,9.293,3.010
198,256,184.037,65.565,131.565,61317120,81.67,44.448,8.024
199,256,146.292,50.866,112.141,49176576,81.73,28.063,6.088
200,256,416.431,78.061,383.533,44072960,81.79,27.180,5.717
201,256,137.837,42.701,113.344,36130816,81.85,19.337,5.156
202,256,160.326,24.857,141.854,15147008,81.92,16.074,2.399
203,256,219.833,164.374,138.032,118444032,81.93,66.675,15.126
204,256,143.732,62.785,114.977,45551616,81.99,22.732,6.023
205,256,116.359,8.242,110.070,7200768,82.07,4.714,1.576
206,256,171.704,57.241,133.258,46936064,82.12,32.242,6.204
207,256,167.440,74.344,131.488,48406528,82.17,29.632,6.321
208,256,167.953,127.142,110.163,99704832,82.19,45.723,12.067
209,256,245.652,274.581,130.619,192196608,82.15,92.644,22.389
210,256,198.285,173.149,128.255,118452224,82.15,55.449,14.581
211,256,230.801,240.130,133.028,155942912,82.13,79.840,17.933
212,256,174.648,105.077,117.052,85942272,82.16,46.736,10.860
213,256,188.530,101.216,127.902,82317312,82.19,50.454,10.174
214,256,165.924,113.101,110.365,91631616,82.21,43.947,11.613
215,256,205.850,117.164,137.967,88174592,82.23,57.273,10.610
